"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-01-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.26","","","","2"
"1981-01-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.00","","","","2"
"1981-01-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.97","","","","2"
"1981-01-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.00","","","","2"
"1981-02-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.11","","","","2"
"1981-02-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.11","","","","2"
"1981-02-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.15","","","","2"
"1981-02-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.14","","","","2"
"1981-03-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.08","","","","2"
"1981-03-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.16","","","","2"
"1981-03-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.11","","","","2"
"1981-03-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.59","","","","2"
"1981-04-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.69","","","","2"
"1981-04-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.74","","","","2"
"1981-04-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.16","","","","2"
"1981-04-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.16","","","","2"
"1981-04-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.40","","","","2"
"1981-05-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.60","","","","2"
"1981-05-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","18.71","","","","2"
"1981-05-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","18.98","","","","2"
"1981-05-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.06","","","","2"
"1981-06-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","18.68","","","","2"
"1981-06-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.10","","","","2"
"1981-06-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.07","","","","2"
"1981-06-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.07","","","","2"
"1981-07-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.08","","","","2"
"1981-07-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.06","","","","2"
"1981-07-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.09","","","","2"
"1981-07-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.04","","","","2"
"1981-07-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.89","","","","2"
"1981-08-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","20.54","","","","2"
"1981-08-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","21.24","","","","2"
"1981-08-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","21.07","","","","2"
"1981-08-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","21.03","","","","2"
"1981-09-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","21.07","","","","2"
"1981-09-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","20.69","","","","2"
"1981-09-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","20.18","","","","2"
"1981-09-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.67","","","","2"
"1981-09-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.63","","","","2"
"1981-10-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","19.60","","","","2"
"1981-10-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","18.95","","","","2"
"1981-10-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","18.31","","","","2"
"1981-10-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","18.30","","","","2"
"1981-11-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","18.21","","","","2"
"1981-11-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","17.62","","","","2"
"1981-11-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.13","","","","2"
"1981-11-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.40","","","","2"
"1981-12-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.32","","","","2"
"1981-12-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.31","","","","2"
"1981-12-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.18","","","","2"
"1981-12-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.00","","","","2"
"1981-12-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.66","","","","2"
"1982-01-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.66","","","","2"
"1982-01-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.74","","","","2"
"1982-01-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.81","","","","2"
"1982-01-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.72","","","","2"
"1982-02-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.59","","","","2"
"1982-02-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.74","","","","2"
"1982-02-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.87","","","","2"
"1982-02-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.74","","","","2"
"1982-03-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.83","","","","2"
"1982-03-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.12","","","","2"
"1982-03-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.06","","","","2"
"1982-03-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.04","","","","2"
"1982-03-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.11","","","","2"
"1982-04-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.40","","","","2"
"1982-04-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.40","","","","2"
"1982-04-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.34","","","","2"
"1982-04-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.32","","","","2"
"1982-05-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.23","","","","2"
"1982-05-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.16","","","","2"
"1982-05-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.41","","","","2"
"1982-05-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.32","","","","2"
"1982-06-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.43","","","","2"
"1982-06-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.87","","","","2"
"1982-06-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.20","","","","2"
"1982-06-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.59","","","","2"
"1982-06-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.58","","","","2"
"1982-07-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.58","","","","2"
"1982-07-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.50","","","","2"
"1982-07-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","16.17","","","","2"
"1982-07-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.60","","","","2"
"1982-08-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.50","","","","2"
"1982-08-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.20","","","","2"
"1982-08-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","15.25","","","","2"
"1982-08-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","14.26","","","","2"
"1982-09-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","13.95","","","","2"
"1982-09-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","13.74","","","","2"
"1982-09-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","13.69","","","","2"
"1982-09-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","13.42","","","","2"
"1982-09-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","13.18","","","","2"
"1982-10-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.98","","","","2"
"1982-10-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.56","","","","2"
"1982-10-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.62","","","","2"
"1982-10-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.53","","","","2"
"1982-11-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.46","","","","2"
"1982-11-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.84","","","","2"
"1982-11-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.84","","","","2"
"1982-11-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.87","","","","2"
"1982-12-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.97","","","","2"
"1982-12-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.05","","","","2"
"1982-12-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.95","","","","2"
"1982-12-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.21","","","","2"
"1982-12-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.26","","","","2"
"1983-01-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.05","","","","2"
"1983-01-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.74","","","","2"
"1983-01-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.74","","","","2"
"1983-01-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.81","","","","2"
"1983-02-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.83","","","","2"
"1983-02-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.91","","","","2"
"1983-02-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.76","","","","2"
"1983-02-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.43","","","","2"
"1983-03-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.48","","","","2"
"1983-03-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.38","","","","2"
"1983-03-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.53","","","","2"
"1983-03-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.47","","","","2"
"1983-03-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.42","","","","2"
"1983-04-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.42","","","","2"
"1983-04-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.54","","","","2"
"1983-04-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.49","","","","2"
"1983-04-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.46","","","","2"
"1983-05-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.37","","","","2"
"1983-05-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.33","","","","2"
"1983-05-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.27","","","","2"
"1983-05-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.38","","","","2"
"1983-06-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.50","","","","2"
"1983-06-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.53","","","","2"
"1983-06-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.54","","","","2"
"1983-06-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.47","","","","2"
"1983-06-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.42","","","","2"
"1983-07-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.42","","","","2"
"1983-07-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.51","","","","2"
"1983-07-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.47","","","","2"
"1983-07-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.51","","","","2"
"1983-08-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.49","","","","2"
"1983-08-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.57","","","","2"
"1983-08-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.68","","","","2"
"1983-08-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.57","","","","2"
"1983-08-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.57","","","","2"
"1983-09-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.54","","","","2"
"1983-09-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.52","","","","2"
"1983-09-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.50","","","","2"
"1983-09-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.52","","","","2"
"1983-10-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.49","","","","2"
"1983-10-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.45","","","","2"
"1983-10-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.48","","","","2"
"1983-10-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.45","","","","2"
"1983-11-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.49","","","","2"
"1983-11-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.53","","","","2"
"1983-11-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.53","","","","2"
"1983-11-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.60","","","","2"
"1983-11-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.63","","","","2"
"1983-12-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.73","","","","2"
"1983-12-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.92","","","","2"
"1983-12-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.06","","","","2"
"1983-12-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.04","","","","2"
"1984-01-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.96","","","","2"
"1984-01-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.97","","","","2"
"1984-01-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.99","","","","2"
"1984-01-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.98","","","","2"
"1984-02-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.98","","","","2"
"1984-02-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.98","","","","2"
"1984-02-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.00","","","","2"
"1984-02-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.00","","","","2"
"1984-02-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.04","","","","2"
"1984-03-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.07","","","","2"
"1984-03-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.20","","","","2"
"1984-03-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.56","","","","2"
"1984-03-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.76","","","","2"
"1984-04-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.78","","","","2"
"1984-04-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.81","","","","2"
"1984-04-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.82","","","","2"
"1984-04-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.82","","","","2"
"1984-05-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.84","","","","2"
"1984-05-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.13","","","","2"
"1984-05-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.72","","","","2"
"1984-05-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.63","","","","2"
"1984-05-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.60","","","","2"
"1984-06-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.54","","","","2"
"1984-06-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.77","","","","2"
"1984-06-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.84","","","","2"
"1984-06-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.98","","","","2"
"1984-07-04","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.36","","","","2"
"1984-07-11","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.76","","","","2"
"1984-07-18","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","13.26","","","","2"
"1984-07-25","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","13.24","","","","2"
"1984-08-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.98","","","","2"
"1984-08-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.65","","","","2"
"1984-08-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.44","","","","2"
"1984-08-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.43","","","","2"
"1984-08-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.39","","","","2"
"1984-09-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.38","","","","2"
"1984-09-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.39","","","","2"
"1984-09-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.38","","","","2"
"1984-09-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.28","","","","2"
"1984-10-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.27","","","","2"
"1984-10-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.25","","","","2"
"1984-10-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.23","","","","2"
"1984-10-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","12.11","","","","2"
"1984-10-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.71","","","","2"
"1984-11-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.67","","","","2"
"1984-11-14","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.45","","","","2"
"1984-11-21","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.20","","","","2"
"1984-11-28","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.78","","","","2"
"1984-12-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.75","","","","2"
"1984-12-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.71","","","","2"
"1984-12-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.56","","","","2"
"1984-12-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.16","","","","2"
"1985-01-02","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.09","","","","2"
"1985-01-09","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.96","","","","2"
"1985-01-16","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.74","","","","2"
"1985-01-23","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.72","","","","2"
"1985-01-30","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.66","","","","2"
"1985-02-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.75","","","","2"
"1985-02-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.31","","","","2"
"1985-02-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.48","","","","2"
"1985-02-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.95","","","","2"
"1985-03-06","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.52","","","","2"
"1985-03-13","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.81","","","","2"
"1985-03-20","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.69","","","","2"
"1985-03-27","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","11.18","","","","2"
"1985-04-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.59","","","","2"
"1985-04-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.59","","","","2"
"1985-04-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.32","","","","2"
"1985-04-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.75","","","","2"
"1985-05-01","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.02","","","","2"
"1985-05-08","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","10.07","","","","2"
"1985-05-15","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.93","","","","2"
"1985-05-22","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.70","","","","2"
"1985-05-29","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.59","","","","2"
"1985-06-05","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.76","","","","2"
"1985-06-12","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.47","","","","2"
"1985-06-19","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.79","","","","2"
"1985-06-26","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.57","","","","2"
"1985-07-03","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.58","","","","2"
"1985-07-10","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.58","","","","2"
"1985-07-17","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.45","","","","2"
"1985-07-24","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.30","","","","2"
"1985-07-31","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.31","","","","2"
"1985-08-07","Canada","2016A000011124","Bank rate","Percent","239","units","0","v80691310","1.2","9.31","","","","2"
