"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","425","","","","0"
"1982","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","460","","","","0"
"1983","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","442","","","","0"
"1984","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","476","","","","0"
"1985","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","513","","","","0"
"1986","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","523","","","","0"
"1987","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","532","","","","0"
"1988","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","536","","","","0"
"1989","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","559","","","","0"
"1990","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","573","","","","0"
"1991","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","582","","","","0"
"1992","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","594","","","","0"
"1993","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","593","C","","","0"
"1994","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","610","B","","","0"
"1995","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","625","B","","","0"
"1996","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","646","B","","","0"
"1997","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","662","B","","","0"
"1998","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","672","C","","","0"
"1999","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","643","C","","","0"
"2000","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","679","C","","","0"
"2001","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","698","C","","","0"
"2002","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","737","C","","","0"
"2003","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","749","C","","","0"
"2004","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","769","C","","","0"
"2005","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","765","C","","","0"
"2006","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","925","A","","","0"
"2007","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","940","A","","","0"
"2008","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1001","A","","","0"
"2009","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1010","A","","","0"
"2010","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1033","A","","","0"
"2011","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1038","A","","","0"
"2012","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1090","A","","","0"
"2013","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1120","A","","","0"
"2014","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1112","A","","","0"
"2015","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1153","A","","","0"
"2016","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1174","A","","","0"
"2017","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1168","A","","","0"
"2018","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Number of persons","Number","223","thousands","3","v107693254","19.1.1.1.1","1207","A","","","0"
